Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.30     0.00    12480     0.00     0.00  std::pair<Board::PatternType const, std::bitset<4ul> > const& std::forward<std::pair<Board::PatternType const, std::bitset<4ul> > const&>(std::remove_reference<std::pair<Board::PatternType const, std::bitset<4ul> > const&>::type&)
  0.00      0.30     0.00    12040     0.00     0.00  Heuristic const& std::forward<Heuristic const&>(std::remove_reference<Heuristic const&>::type&)
  0.00      0.30     0.00    11434     0.00     0.00  std::_Identity<Heuristic>::operator()(Heuristic const&) const
  0.00      0.30     0.00    11389     0.00     0.00  Board const& std::forward<Board const&>(std::remove_reference<Board const&>::type&)
  0.00      0.30     0.00    10400     0.00     0.00  std::bitset<4ul>::_Unchecked_set(unsigned long)
  0.00      0.30     0.00     9880     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.30     0.00     9360     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::base() const
  0.00      0.30     0.00     9360     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_end()
  0.00      0.30     0.00     8840     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.30     0.00     8840     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.30     0.00     8364     0.00     0.00  __gnu_cxx::__aligned_membuf<Heuristic>::_M_ptr() const
  0.00      0.30     0.00     8364     0.00     0.00  __gnu_cxx::__aligned_membuf<Heuristic>::_M_addr() const
  0.00      0.30     0.00     8364     0.00     0.00  std::_Rb_tree_node<Heuristic>::_M_valptr() const
  0.00      0.30     0.00     8320     0.00     0.00  void std::_Construct<std::bitset<4ul>, std::bitset<4ul> const&>(std::bitset<4ul>*, std::bitset<4ul> const&)
  0.00      0.30     0.00     8320     0.00     0.00  std::bitset<4ul>* std::__addressof<std::bitset<4ul> >(std::bitset<4ul>&)
  0.00      0.30     0.00     8320     0.00     0.00  std::bitset<4ul> const& std::forward<std::bitset<4ul> const&>(std::remove_reference<std::bitset<4ul> const&>::type&)
  0.00      0.30     0.00     8099     0.00     0.00  CompareHeuristic::operator()(Heuristic const&, Heuristic const&) const
  0.00      0.30     0.00     8099     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_S_key(std::_Rb_tree_node<Heuristic> const*)
  0.00      0.30     0.00     7828     0.00     0.00  std::bitset<361ul>::_Unchecked_set(unsigned long, int)
  0.00      0.30     0.00     7828     0.00     0.00  std::bitset<361ul>::set(unsigned long, bool)
  0.00      0.30     0.00     7484     0.00     0.00  std::bitset<361ul>::operator[](unsigned long) const
  0.00      0.30     0.00     7484     0.00     0.00  std::bitset<4ul>::reference::reference(std::bitset<4ul>&, unsigned long)
  0.00      0.30     0.00     7484     0.00     0.00  std::bitset<4ul>::reference::~reference()
  0.00      0.30     0.00     7484     0.00     0.00  std::bitset<4ul>::reference::operator=(bool)
  0.00      0.30     0.00     7484     0.00     0.00  std::bitset<4ul>::operator[](unsigned long)
  0.00      0.30     0.00     7340     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::base() const
  0.00      0.30     0.00     6880     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_M_get_Node_allocator()
  0.00      0.30     0.00     6240     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_mbegin() const
  0.00      0.30     0.00     6240     0.00     0.00  std::_Base_bitset<1ul>::_Base_bitset()
  0.00      0.30     0.00     5720     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_begin()
  0.00      0.30     0.00     4915     0.00     0.00  std::_Rb_tree_iterator<Heuristic>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.30     0.00     4881     0.00     0.00  __gnu_cxx::__aligned_buffer<Board>::_M_ptr()
  0.00      0.30     0.00     4881     0.00     0.00  __gnu_cxx::__aligned_buffer<Board>::_M_addr()
  0.00      0.30     0.00     4881     0.00     0.00  std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.30     0.00     4680     0.00     0.00  bool __gnu_cxx::operator!=<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >(__gnu_cxx::__normal_iterator<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > > const&, __gnu_cxx::__normal_iterator<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > > const&)
  0.00      0.30     0.00     4680     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<Board::PatternType const, std::bitset<4ul> > > const&, std::_Rb_tree_iterator<std::pair<Board::PatternType const, std::bitset<4ul> > > const&)
  0.00      0.30     0.00     4611     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.30     0.00     4223     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.30     0.00     4180     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.30     0.00     4160     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::operator++()
  0.00      0.30     0.00     4160     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul> const*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::operator*() const
  0.00      0.30     0.00     4160     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_max_size() const
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree_iterator<std::pair<Board::PatternType const, std::bitset<4ul> > >::operator*() const
  0.00      0.30     0.00     4160     0.00     0.00  std::_Base_bitset<1ul>::_M_do_reset()
  0.00      0.30     0.00     4160     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >::deallocate(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*, unsigned long)
  0.00      0.30     0.00     4160     0.00     0.00  void std::__new_allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >::destroy<std::pair<Board::PatternType const, std::bitset<4ul> > >(std::pair<Board::PatternType const, std::bitset<4ul> >*)
  0.00      0.30     0.00     4160     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >::allocate(unsigned long, void const*)
  0.00      0.30     0.00     4160     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >&, std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*, unsigned long)
  0.00      0.30     0.00     4160     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > > >::destroy<std::pair<Board::PatternType const, std::bitset<4ul> > >(std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >&, std::pair<Board::PatternType const, std::bitset<4ul> >*)
  0.00      0.30     0.00     4160     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >&, unsigned long)
  0.00      0.30     0.00     4160     0.00     0.00  std::map<Board::PatternType, std::bitset<4ul>, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::lower_bound(Board::PatternType const&)
  0.00      0.30     0.00     4160     0.00     0.00  std::map<Board::PatternType, std::bitset<4ul>, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::end()
  0.00      0.30     0.00     4160     0.00     0.00  void std::bitset<4ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char)
  0.00      0.30     0.00     4160     0.00     0.00  std::bitset<4ul>::reset()
  0.00      0.30     0.00     4160     0.00     0.00  std::bitset<4ul>::bitset<char>(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, char, char)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_get_node()
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_put_node(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::lower_bound(Board::PatternType const&)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_drop_node(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*, std::_Rb_tree_node_base*, Board::PatternType const&)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_destroy_node(std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >*)
  0.00      0.30     0.00     4160     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::end()
  0.00      0.30     0.00     4160     0.00     0.00  Board::PatternType&& std::forward<Board::PatternType>(std::remove_reference<Board::PatternType>::type&)
  0.00      0.30     0.00     3960     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.30     0.00     3670     0.00     0.00  bool __gnu_cxx::operator!=<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >(__gnu_cxx::__normal_iterator<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > > const&, __gnu_cxx::__normal_iterator<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > > const&)
  0.00      0.30     0.00     3640     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_M_rightmost()
  0.00      0.30     0.00     3612     0.00     0.00  Heuristic::~Heuristic()
  0.00      0.30     0.00     3612     0.00     0.00  std::shared_ptr<Board>::~shared_ptr()
  0.00      0.30     0.00     3612     0.00     0.00  std::__shared_ptr<Board, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.30     0.00     3612     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.30     0.00     3612     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.30     0.00     3600     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_M_end()
  0.00      0.30     0.00     3565     0.00     0.00  Board::~Board()
  0.00      0.30     0.00     3564     0.00     0.01  Board::generateDiagBoard()
  0.00      0.30     0.00     3564     0.00     0.01  Board::generateAntiDiagBoard()
  0.00      0.30     0.00     3564     0.00     0.01  Board::generateTransposedBoard()
  0.00      0.30     0.00     3564     0.00     0.04  Board::Board(Board const&)
  0.00      0.30     0.00     3564     0.00     0.00  std::_Base_bitset<6ul>::_M_is_any() const
  0.00      0.30     0.00     3564     0.00     0.00  std::bitset<361ul>::none() const
  0.00      0.30     0.00     3564     0.00     0.00  std::bitset<361ul>::size() const
  0.00      0.30     0.00     3564     0.00     0.00  __gnu_cxx::__enable_if<__is_integer<unsigned long>::__value, double>::__type std::sqrt<unsigned long>(unsigned long)
  0.00      0.30     0.00     3440     0.00     0.00  __gnu_cxx::__aligned_membuf<Heuristic>::_M_ptr()
  0.00      0.30     0.00     3440     0.00     0.00  __gnu_cxx::__aligned_membuf<Heuristic>::_M_addr()
  0.00      0.30     0.00     3440     0.00     0.00  std::_Rb_tree_node<Heuristic>::_M_valptr()
  0.00      0.30     0.00     3321     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::operator*() const
  0.00      0.30     0.00     3254     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::allocator<void>(std::allocator<void> const&)
  0.00      0.30     0.00     3254     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::~allocator()
  0.00      0.30     0.00     3254     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<void>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<void>, true>&)
  0.00      0.30     0.00     3254     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      0.30     0.00     3254     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.00      0.30     0.00     3254     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::__new_allocator()
  0.00      0.30     0.00     3254     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::~__new_allocator()
  0.00      0.30     0.00     3254     0.00     0.00  std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.00      0.30     0.00     3254     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >* std::__addressof<std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >(std::allocator<std::_Sp_counted_ptr_inplace<Board, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&)
  0.00      0.30     0.00     3150     0.00     0.00  __gnu_cxx::__normal_iterator<std::bitset<4ul>*, std::vector<std::bitset<4ul>, std::allocator<std::bitset<4ul> > > >::operator++()
  0.00      0.30     0.00     3120     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.30     0.00     2705     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.30     0.00     2600     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::size() const
  0.00      0.30     0.00     2600     0.00     0.00  std::allocator<std::bitset<4ul> >::~allocator()
  0.00      0.30     0.00     2600     0.00     0.00  std::_Vector_base<std::bitset<4ul>, std::allocator<std::bitset<4ul> > >::_M_get_Tp_allocator()
  0.00      0.30     0.00     2600     0.00     0.00  std::__new_allocator<std::bitset<4ul> >::~__new_allocator()
  0.00      0.30     0.00     2477     0.00     0.00  Board::coordinateToDiag1D(int, int) const
  0.00      0.30     0.00     2477     0.00     0.00  Board::coordinateToAntiDiag1D(int, int) const
  0.00      0.30     0.00     2477     0.00     0.00  Board::coordinateToTranspose1D(int, int) const
  0.00      0.30     0.00     2240     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.30     0.00     2202     0.00     0.00  checkWin(Board const&, int const&, int const&, int const&)
  0.00      0.30     0.00     2145     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_M_mbegin() const
  0.00      0.30     0.00     2145     0.00     0.00  std::_Rb_tree<Heuristic, Heuristic, std::_Identity<Heuristic>, CompareHeuristic, std::allocator<Heuristic> >::_M_begin()
  0.00      0.30     0.00     2080     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<Board::PatternType const, std::bitset<4ul> > >::_M_const_cast() const
  0.00      0.30     0.00     2080     0.00     0.00  std::map<Board::PatternType, std::bitset<4ul>, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::key_comp() const
  0.00      0.30     0.00     2080     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_Auto_node::_M_key() const
  0.00      0.30     0.00     2080     0.00     0.00  std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > >* std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::_Alloc_node::operator()<std::pair<Board::PatternType const, std::bitset<4ul> > const&>(std::pair<Board::PatternType const, std::bitset<4ul> > const&) const
  0.00      0.30     0.00     2080     0.00     0.00  std::_Rb_tree<Board::PatternType, std::pair<Board::PatternType const, std::bitset<4ul> >, std::_Select1st<std::pair<Board::PatternType const, std::bitset<4ul> > >, std::less<Board::PatternType>, std::allocator<std::pair<Board::PatternType const, std::bitset<4ul> > > >::key_comp() const
  0.00      0.30     0.00     2080     0.00     0.00  std::allocator<std::bitset<4ul> >::allocator(std::allocator<std::bitset<4ul> > const&)
  0.00      0.30     0.00     2080     0.00     0.00  void std::__new_allocator<std::_Rb_tree_node<std::pair<Board::PatternType const, std::bitset<4ul> > > >::construct<std::pair<Board::PatternType const, std::bitset<4ul> >, std::pair<Board::PatternType const, std::bitset<4ul> > const&>(std::pair<Board::PatternType const, std::bitset<4ul> >*, std::pair<Board::PatternType const, std::bitset<4ul> > const&)
